pos:C,name:Marc Hill,age:25,games:108,plate_appearances:364,at_bats:320,runs:28,hits:80,doubles:10,triples:0,home_runs:9,runs_batted_in:50,stolen_bases:0,caught_stealing:1,walks:34,strikeouts:34,batting_avg:.250,onbase:.316,slugging:.366,ops:erc">.366,ops+:lugging">.681,bases:117,double_plays:12,hit_by_pitch:0,sac_hits:3,sac_flies:7,intentional_walks:6
pos:LF,name:Randy Elliott,age:26,games:73,plate_appearances:178,at_bats:167,runs:17,hits:40,doubles:5,triples:1,home_runs:7,runs_batted_in:26,stolen_bases:0,caught_stealing:2,walks:8,strikeouts:24,batting_avg:.240,onbase:.275,slugging:.407,ops:erc">.407,ops+:lugging">.682,bases:68,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:1
pos:SS,name:Johnnie LeMaster,age:23,games:68,plate_appearances:152,at_bats:134,runs:13,hits:20,doubles:5,triples:1,home_runs:0,runs_batted_in:8,stolen_bases:2,caught_stealing:1,walks:13,strikeouts:27,batting_avg:.149,onbase:.223,slugging:.201,ops:erc">.201,ops+:lugging">.424,bases:27,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:1,intentional_walks:3
pos:C,name:Gary Alexander,age:24,games:51,plate_appearances:143,at_bats:119,runs:17,hits:36,doubles:4,triples:2,home_runs:5,runs_batted_in:20,stolen_bases:3,caught_stealing:1,walks:20,strikeouts:33,batting_avg:.303,onbase:.406,slugging:.496,ops:erc">.496,ops+:lugging">.901,bases:59,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:2
pos:C,name:Mike Sadek,age:31,games:61,plate_appearances:141,at_bats:126,runs:12,hits:29,doubles:7,triples:0,home_runs:1,runs_batted_in:15,stolen_bases:2,caught_stealing:1,walks:12,strikeouts:5,batting_avg:.230,onbase:.297,slugging:.310,ops:erc">.310,ops+:lugging">.607,bases:39,double_plays:2,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:CF,name:Larry Herndon,age:23,games:49,plate_appearances:118,at_bats:109,runs:13,hits:26,doubles:4,triples:3,home_runs:1,runs_batted_in:5,stolen_bases:4,caught_stealing:2,walks:5,strikeouts:20,batting_avg:.239,onbase:.278,slugging:.358,ops:erc">.358,ops+:lugging">.636,bases:39,double_plays:4,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:1
pos:SS,name:Chris Speier,age:27,games:6,plate_appearances:17,at_bats:17,runs:1,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.176,onbase:.176,slugging:.235,ops:erc">.235,ops+:lugging">.412,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Skip James,age:27,games:10,plate_appearances:17,at_bats:15,runs:3,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:3,batting_avg:.267,onbase:.353,slugging:.333,ops:erc">.333,ops+:lugging">.686,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Ken Rudolph,age:30,games:11,plate_appearances:16,at_bats:15,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.200,onbase:.250,slugging:.200,ops:erc">.200,ops+:lugging">.450,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos: ,name:Tom Heintzelman,age:30,games:2,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ed Halicki,age:26,games:37,plate_appearances:96,at_bats:85,runs:7,hits:15,doubles:4,triples:0,home_runs:2,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:29,batting_avg:.176,onbase:.211,slugging:.294,ops:erc">.294,ops+:lugging">.505,bases:25,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:1,intentional_walks:0
pos:P,name:Jim Barr,age:29,games:44,plate_appearances:92,at_bats:76,runs:2,hits:10,doubles:2,triples:0,home_runs:0,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:22,batting_avg:.132,onbase:.165,slugging:.158,ops:erc">.158,ops+:lugging">.322,bases:12,double_plays:0,hit_by_pitch:1,sac_hits:13,sac_flies:0,intentional_walks:0
pos:P,name:Bob Knepper,age:23,games:27,plate_appearances:65,at_bats:55,runs:4,hits:10,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:18,batting_avg:.182,onbase:.250,slugging:.200,ops:erc">.200,ops+:lugging">.450,bases:11,double_plays:1,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:John Montefusco,age:27,games:26,plate_appearances:56,at_bats:49,runs:1,hits:6,doubles:0,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:24,batting_avg:.122,onbase:.173,slugging:.184,ops:erc">.184,ops+:lugging">.357,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Lynn McGlothen,age:27,games:21,plate_appearances:21,at_bats:19,runs:1,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.105,onbase:.150,slugging:.158,ops:erc">.158,ops+:lugging">.308,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Charlie Williams,age:29,games:55,plate_appearances:19,at_bats:18,runs:0,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.222,onbase:.222,slugging:.222,ops:erc">.222,ops+:lugging">.444,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:John Curtis,age:29,games:44,plate_appearances:17,at_bats:13,runs:4,hits:3,doubles:0,triples:1,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.231,onbase:.286,slugging:.385,ops:erc">.385,ops+:lugging">.670,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Gary Lavelle,age:28,games:73,plate_appearances:14,at_bats:14,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:8,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dave Heaverlo,age:26,games:56,plate_appearances:8,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.000,onbase:.167,slugging:.000,ops:erc">.000,ops+:lugging">.167,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Greg Minton,age:25,games:3,plate_appearances:5,at_bats:3,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.333,onbase:.500,slugging:.333,ops:erc">.333,ops+:lugging">.833,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Randy Moffitt,age:28,games:64,plate_appearances:4,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Terry Cornutt,age:24,games:28,plate_appearances:2,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Tommy Toms,age:25,games:4,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
